first x,goalfunction,id,rel max,tabu tenure,int(time)
5,"14257,116742",17,"0,5813313922",30,10
10,"11850,296765",17,"0,4831937369",30,10
1,"5392,0737775",17,"0,2198608465",30,10
5,"13897,891347",17,"0,5666840408",30,11
10,"11440,878459",17,"0,4664997785",30,11
1,"5246,5868044",17,"0,2139286412",30,11
1,"4834,0082996",17,"0,1971058262",30,12
10,"11009,866892",17,"0,4489253588",30,12
5,"13556,188429",17,"0,5527511653",30,12
1,"4618,741191",17,"0,1883283483",30,13
5,"13262,883906",17,"0,5407917257",30,13
10,"10529,030479",17,"0,4293193398",30,13
1,"4411,2978962",17,"0,1798698849",30,14
10,"10349,949283",17,"0,422017336",30,14
5,"12848,497267",17,"0,5238951844",30,14
5,"12744,042147",17,"0,5196360455",30,15
1,"4352,6921809",17,"0,1774802473",30,15
10,"10199,969177",17,"0,4159019239",30,15
5,"12490,786007",17,"0,5093095715",30,16
10,"10113,756584",17,"0,4123866208",30,16
1,"4337,4781608",17,"0,1768598984",30,16
10,"9996,5295762",17,"0,4076067105",30,17
1,"4316,1465013",17,"0,1759901038",30,17
5,"12299,615861",17,"0,5015146429",30,17
5,"12045,24835",17,"0,4911428531",30,18
1,"3573,8165467",17,"0,1457217323",30,18
10,"9722,3863665",17,"0,39642857",30,18
10,"9701,5961275",17,"0,3955808517",30,19
1,"3322,8608913",17,"0,1354890602",30,19
5,"11810,257156",17,"0,481561129",30,19
1,"3322,8608913",17,"0,1354890602",30,20
10,"9057,4715031",17,"0,369316785",30,20
5,"11599,169343",17,"0,4729540611",30,20
1,"2914,2682023",17,"0,1188287662",30,21
5,"11464,444511",17,"0,4674606801",30,21
10,"8520,7760073",17,"0,3474331219",30,21
1,"2874,2095823",17,"0,1171953831",30,22
5,"11278,97438",17,"0,4598981686",30,22
10,"8277,0059612",17,"0,3374934418",30,22
1,"2850,9452038",17,"0,1162467822",30,23
10,"8050,8919971",17,"0,3282736852",30,23
5,"11071,531085",17,"0,4514397052",30,23
1,"2618,7995215",17,"0,1067810834",30,24
5,"10704,921811",17,"0,4364912775",30,24
10,"7925,0866902",17,"0,3231439963",30,24
10,"7922,2591484",17,"0,3230287037",30,25
1,"2618,7995215",17,"0,1067810834",30,25
5,"10618,271983",17,"0,4329581462",30,25
10,"7922,2591484",17,"0,3230287037",30,26
1,"2343,5359481",17,"0,0955572603",30,26
5,"10459,411119",17,"0,4264806228",30,26
1,"2292,9426107",17,"0,093494326",30,27
5,"10282,767401",17,"0,4192780067",30,27
10,"7570,4465328",17,"0,3086836071",30,27
1,"2250,7901084",17,"0,0917755652",30,28
10,"7570,4465328",17,"0,3086836071",30,28
5,"9983,2453359",17,"0,4070650479",30,28
10,"7495,1956379",17,"0,3056152653",30,29
1,"2212,8941595",17,"0,0902303647",30,29
5,"9892,6455233",17,"0,4033708567",30,29
1,"2210,549456",17,"0,0901347598",30,30
10,"7210,5751704",17,"0,2940099165",30,30
5,"9537,0906114",17,"0,3888731686",30,30
1,"2176,5818926",17,"0,0887497385",30,31
5,"9496,0369418",17,"0,3871992126",30,31
10,"7080,979633",17,"0,2887256816",30,31
1,"2176,5818926",17,"0,0887497385",30,32
10,"6914,5692948",17,"0,2819403297",30,32
5,"9313,4197992",17,"0,3797530311",30,32
5,"9012,3091848",17,"0,3674752996",30,33
10,"6645,4119727",17,"0,2709654879",30,33
1,"2143,0271991",17,"0,0873815518",30,33
1,"2061,2043716",17,"0,0840452406",30,34
10,"6414,2422955",17,"0,2615395855",30,34
5,"8841,8839449",17,"0,3605262408",30,34
10,"6323,7246147",17,"0,2578487433",30,35
1,"2016,6294895",17,"0,0822277077",30,35
5,"8666,974385",17,"0,3533943347",30,35
1,"1985,2103207",17,"0,0809465967",30,36
5,"8666,974385",17,"0,3533943347",30,36
10,"6110,009052",17,"0,2491345293",30,36
5,"8372,7325567",17,"0,3413966766",30,37
1,"1890,348791",17,"0,0770786348",30,37
10,"6110,009052",17,"0,2491345293",30,37
10,"5993,4472523",17,"0,2443817427",30,38
5,"8317,5679418",17,"0,3391473493",30,38
1,"1889,4894197",17,"0,0770435941",30,38
1,"1807,4856704",17,"0,0736999058",30,39
5,"8080,144942",17,"0,3294664688",30,39
10,"5855,5180036",17,"0,2387577022",30,39
5,"8035,3481451",17,"0,3276398874",30,40
10,"5759,1922898",17,"0,2348300384",30,40
1,"1798,6700013",17,"0,0733404485",30,40
5,"7894,2833126",17,"0,321887994",30,41
10,"5711,8145827",17,"0,2328982208",30,41
1,"1779,9446547",17,"0,0725769258",30,41
1,"1779,9446547",17,"0,0725769258",30,41
5,"7795,9835953",17,"0,3178798406",30,42
10,"5678,2722857",17,"0,2315305397",30,42
1,"1735,3979788",17,"0,0707605431",30,43
5,"7649,1312096",17,"0,3118919608",30,43
10,"5615,0002632",17,"0,2289506342",30,43
1,"1660,4369301",17,"0,0677040197",30,44
10,"5511,3913565",17,"0,2247259995",30,44
5,"7265,7625282",17,"0,2962601711",30,44
1,"1644,8453511",17,"0,0670682758",30,45
5,"7154,4900695",17,"0,2917230565",30,45
10,"5427,726983",17,"0,2213145996",30,45
5,"7018,5833101",17,"0,2861814826",30,46
10,"5427,726983",17,"0,2213145996",30,46
1,"1644,8453511",17,"0,0670682758",30,46
5,"7018,5833101",17,"0,2861814826",30,47
1,"1589,5733956",17,"0,0648145717",30,47
10,"5379,7775227",17,"0,2193594689",30,47
10,"5316,4545242",17,"0,216777485",30,48
