1,2,3,4,5,6
"12338,656693","1804,3655133",0,,,
"23767,319943","16759,589984","15026,057275",,,
"25383,242745","15639,278543","13100,489143","13022,242605",,
"22981,721547","17600,281349","14912,931041",,,
"14709,777587","4819,7394575","2437,5144855",,,
"29389,843529","27040,872487","21854,568523",,,
"23347,733257","15339,995079","9853,9762575",,,
"29717,126066","28866,326676","27666,965466",,,
"14847,081029","9951,2003161","4167,770886",,,
"14627,600899","9101,2648649","7046,4617469",,,
"16513,031593","14630,121065","6185,8519745",,,
"16977,976006","12801,005994","10126,690891",,,
"18401,989545","11163,696331","8822,8998985",,,
"12876,132707","7248,0431409","4872,3465987",,,
"18021,595857","16116,174336","15129,949486",,,
"14097,225409","10013,35165","5457,4557994",,,
"22282,447862","19849,84828","15513,373298","14694,138847",,
"13116,785088","12538,492571","4753,8702056","994,80377672",,
"26638,90649","18594,455204","10775,221908","7276,9948661",,
"36159,456281","34733,631544","30446,801382","26219,082251","23076,528402",
"27061,770072","18979,264607","16417,157466","14028,651198","11462,430287",
"21000,987376","16173,909","11467,192487","8730,1171742","4742,8131365",
"33233,744346","30733,98961","28442,923814","27410,023611",,
"33233,744346","31119,353157","28628,956615","27829,667023",,
"33233,744346","31119,353157","28852,183183","28092,106703",,
"26054,694435","24514,592196","23087,333615","22275,215089","21958,480534",
"26302,461428","24745,120354","23329,679522","22648,939254","22597,559241",
"26054,694435","24710,57868","23142,935465","22648,939254","22388,815911",
"38873,331844","37219,476665","36629,99568",,,
"39032,585178","37404,323329","36919,128889",,,
"39095,416384","37585,832149","36925,610615",,,
"35340,084093","33929,758195","32547,889536","30229,264301","30044,992369",
"35340,084093","34129,549205","32858,00572","30453,098708","30391,204917",
"35340,084093","34129,549205","32858,00572","30453,098708","30229,264301",
"33854,232297","31320,271381","29290,383517","27357,420203","25964,633141",
"33854,232297","31410,305795","29597,061454","27357,420203","25964,633141",
"33854,232297","31320,271381","29290,383517","27357,420203","25826,715911",
"25043,743243","17534,966495","13087,549239","11341,556231","9088,5973884","8241,1692518"
"25043,743243","17534,966495","13087,549239","11433,265826","9088,5973884","8241,1692518"
"25043,743243","17278,118169","13087,549239","11341,556231","9088,5973884","8241,1692518"
"39623,645433","37373,125403","35435,354197","34609,104228",,
"39348,829822","37373,125403","35435,354197","34609,104228",,
"39348,829822","37373,125403","35435,354197","34609,104228",,
"38444,94716","36213,77817","35338,886583",,,
"38444,94716","36213,77817","35338,886583",,,
"38187,805597","36565,023505","35561,67176",,,
"29753,503453","26404,999415","23668,067705","22245,929151",,
